permno,ticker,comnam,date,ret,prc,vol,shrout,cfacpr,sector,market_cap,year,month,year_month,vol_6m,mean_ret_6m,sharpe_6m,vol_12m,mean_ret_12m,sharpe_12m,var_95_6m,var_99_6m,cum_ret,running_max,drawdown,drawdown_pct,max_dd_12m,is_peak,peak_id,months_since_peak,drawdown_duration,risk_class,high_risk_alert
47896,JPM,J P MORGAN CHASE & CO,2023-07-31,0.092959,157.96001,2312748.0,2922289.0,1.0,Financials,461604.79966289,2023,7,2023-07,0.24008505838389835,0.296276,1.1507421655463121,0.2971200519353935,0.386355,1.2330201129597982,7.28,8.73328,1.73704895782778,1.7731644742542416,-0.020367832172845216,-2.0367832172845217,-37.015586148171906,False,14,21,21,Medium,False
47896,JPM,J P MORGAN CHASE & CO,2023-08-31,-0.073626,146.33,1693183.0,2906085.0,1.0,Financials,425247.41805,2023,8,2023-08,0.2775049957899855,0.100582,0.29038035791248995,0.3127837663973744,0.326859,0.9810579479056234,8.6631,9.0099,1.6091569912587518,1.7731644742542416,-0.09249423016128731,-9.24942301612873,-37.015586148171906,False,14,22,22,High,True
47896,JPM,JPMORGAN CHASE & CO,2023-09-29,-0.008952,145.02,1722474.0,2906085.0,1.0,Financials,421440.4467,2023,9,2023-09,0.22660898416876565,0.26461,1.0794364614327392,0.2932078715587288,0.3990640000000001,1.2928165877159083,5.9795,7.08598,1.5947518178730036,1.7731644742542416,-0.1006182218128834,-10.06182218128834,-23.526655124422845,False,14,23,23,Medium,False
47896,JPM,JPMORGAN CHASE & CO,2023-10-31,-0.033857,139.06,2440733.0,2906085.0,1.0,Financials,404120.1801,2023,10,2023-10,0.22243109618666151,0.059837999999999975,0.17910265553233798,0.222686749433124,0.151044,0.5884678829503253,6.3683749999999995,7.163754999999999,1.5407583055752772,1.7731644742542416,-0.13106859067696466,-13.106859067696467,-20.269785561243893,False,14,24,24,Medium,False
47896,JPM,J P MORGAN CHASE & CO,2023-11-30,0.122393,156.08,1621980.0,2891008.0,1.0,Financials,451228.52864,2023,11,2023-11,0.27081025860332525,0.341228,1.1861736761993389,0.23405656357443338,0.17572500000000002,0.6653306261607025,6.3683749999999995,7.163754999999999,1.729336336869552,1.7731644742542416,-0.02471746869569043,-2.471746869569043,-20.269785561243893,False,14,25,25,Medium,False
47896,JPM,JPMORGAN CHASE & CO,2023-12-29,0.089826,170.10001,1847691.0,2891008.0,1.0,Financials,491760.48971008,2023,12,2023-12,0.27885495165838436,0.377486,1.2819783112115715,0.23984424350739877,0.29507800000000006,1.146902656396314,6.3683749999999995,7.163754999999999,1.8846757026651964,1.8846757026651964,0.0,0.0,-20.269785561243893,True,15,0,0,High,True
47896,JPM,JPMORGAN CHASE & CO,2024-01-31,0.031217,174.36,2316568.0,2891008.0,1.0,Financials,504076.1548800001,2024,1,2024-01,0.25914754766889053,0.254002,0.9029682206330633,0.23825849338652805,0.2751390000000001,1.0708495482093336,6.3683749999999995,7.163754999999999,1.9435096240752958,1.9435096240752958,0.0,0.0,-20.269785561243893,True,16,0,0,Medium,False
47896,JPM,JPMORGAN CHASE & CO,2024-02-29,0.067103,186.06,1547358.0,2880371.0,1.0,Financials,535921.82826,2024,2,2024-02,0.20672269169687174,0.53546,2.4934853342362913,0.24233639063293824,0.31802100000000005,1.2297822841283712,2.7630749999999997,3.2611749999999997,2.07392495037962,2.07392495037962,0.0,0.0,-20.269785561243893,True,17,0,0,Medium,False
47896,JPM,JPMORGAN CHASE & CO,2024-03-28,0.076535,200.3,1662563.0,2880371.0,1.0,Financials,576938.3113000001,2024,3,2024-03,0.188061255438753,0.706434,3.650055394975043,0.20941378118669535,0.48552200000000006,2.222976908978978,1.75885,3.06033,2.2326527964569243,2.2326527964569243,0.0,0.0,-16.365175131426728,True,18,0,0,Low,False
47896,JPM,JPMORGAN CHASE & CO,2024-04-30,-0.036995,191.74001,2247794.0,2880371.0,1.0,Financials,552282.36434371,2024,4,2024-04,0.19179002455498018,0.700158,3.5463679697534007,0.22028854134933623,0.37999800000000006,1.6342111931691938,1.9942000000000002,3.35844,2.1500558062520003,2.2326527964569243,-0.036995000000000014,-3.6995000000000013,-16.365175131426728,False,18,1,1,Medium,False
47896,JPM,J P MORGAN CHASE & CO,2024-05-31,0.056796,202.63,1959024.0,2871668.0,1.0,Financials,581886.08684,2024,5,2024-05,0.15881847086028722,0.568964,3.456550091600644,0.2144280840833038,0.45509600000000006,2.0290998814827272,1.9942000000000002,3.35844,2.272170375823889,2.272170375823889,0.0,0.0,-13.106859067696467,True,19,0,0,Low,False
47896,JPM,JPMORGAN CHASE & CO,2024-06-28,-0.001826,202.25999,1749021.0,2871668.0,1.0,Financials,580823.5409633201,2024,6,2024-06,0.15285628562803655,0.38566,2.3921816397514992,0.21440029345531994,0.381573,1.6864389230668202,2.8202749999999996,3.5236549999999998,2.2680213927176345,2.272170375823889,-0.0018260000000000103,-0.18260000000000104,-13.106859067696467,False,19,1,1,Low,False
47896,JPM,JPMORGAN CHASE & CO,2024-07-31,0.057797,212.8,1974561.0,2871668.0,1.0,Financials,611090.9504,2024,7,2024-07,0.1570365863867395,0.43882,2.66702180451476,0.20618375033295827,0.3464110000000001,1.583107298576592,2.8202749999999996,3.5236549999999998,2.399106225152536,2.399106225152536,0.0,0.0,-13.106859067696467,True,20,0,0,Low,False
47896,JPM,J P MORGAN CHASE & CO,2024-08-30,0.056391,224.8,1724367.0,2845165.0,1.0,Financials,639593.092,2024,8,2024-08,0.15270875572540005,0.417396,2.6023131294095214,0.17418797414705348,0.47642799999999996,2.6203186657115203,2.8202749999999996,3.5236549999999998,2.534394224295113,2.534394224295113,0.0,0.0,-13.106859067696467,True,21,0,0,Low,False
47896,JPM,J P MORGAN CHASE & CO,2024-09-30,-0.062011,210.86,2064934.0,2845165.0,1.0,Financials,599931.4919000001,2024,9,2024-09,0.18423898573754657,0.14030399999999998,0.6529779759609418,0.19694969190102612,0.4233690000000001,2.048081396353271,5.5757,6.07602,2.3772339040523485,2.534394224295113,-0.062011000000000094,-6.201100000000009,-13.106859067696467,False,21,1,1,Low,False
