permno,ticker,comnam,date,ret,prc,vol,shrout,cfacpr,sector,market_cap,year,month,year_month
86580,NVDA,NVIDIA CORP,2019-11-29,0.078997,216.74001,1834107.0,612000.0,40.0,Technology,132644.88612,2019,11,2019-11
86580,NVDA,NVIDIA CORP,2019-12-31,0.085633,235.3,1639520.0,612000.0,40.0,Technology,144003.6,2019,12,2019-12
86580,NVDA,NVIDIA CORP,2020-01-31,0.004802,236.42999,1530289.0,612000.0,40.0,Technology,144695.15388,2020,1,2020-01
86580,NVDA,NVIDIA CORP,2020-02-28,0.14296,270.07001,2956454.0,612000.0,40.0,Technology,165282.84612,2020,2,2020-02
86580,NVDA,NVIDIA CORP,2020-03-31,-0.023957,263.60001,3937008.0,615108.0,40.0,Technology,162142.47495108,2020,3,2020-03
86580,NVDA,NVIDIA CORP,2020-04-30,0.108801,292.28,2818295.0,615000.0,40.0,Technology,179752.19999999998,2020,4,2020-04
86580,NVDA,NVIDIA CORP,2020-05-29,0.214657,355.01999,3132848.0,615000.0,40.0,Technology,218337.29385,2020,5,2020-05
86580,NVDA,NVIDIA CORP,2020-06-30,0.070559,379.91,2423478.0,615000.0,40.0,Technology,233644.65000000002,2020,6,2020-06
86580,NVDA,NVIDIA CORP,2020-07-31,0.117607,424.59,2022348.0,617000.0,40.0,Technology,261972.02999999997,2020,7,2020-07
86580,NVDA,NVIDIA CORP,2020-08-31,0.259992,534.97998,2411113.0,617000.0,40.0,Technology,330082.64765999996,2020,8,2020-08
86580,NVDA,NVIDIA CORP,2020-09-30,0.011963,541.21997,3956426.0,617000.0,40.0,Technology,333932.72149,2020,9,2020-09
86580,NVDA,NVIDIA CORP,2020-10-30,-0.073648,501.35999,2000696.0,619000.0,40.0,Technology,310341.83381,2020,10,2020-10
86580,NVDA,NVIDIA CORP,2020-11-30,0.069212,536.06,1896177.0,619000.0,40.0,Technology,331821.13999999996,2020,11,2020-11
86580,NVDA,NVIDIA CORP,2020-12-31,-0.025557,522.20001,1276936.0,619000.0,40.0,Technology,323241.80619,2020,12,2020-12
86580,NVDA,NVIDIA CORP,2021-01-29,-0.004998,519.59003,1532575.0,620000.0,40.0,Technology,322145.81859999994,2021,1,2021-01
86580,NVDA,NVIDIA CORP,2021-02-26,0.055794,548.58002,1666380.0,620000.0,40.0,Technology,340119.6124,2021,2,2021-02
86580,NVDA,NVIDIA CORP,2021-03-31,-0.026414,533.92999,1906338.0,622345.0,40.0,Technology,332288.65962655,2021,3,2021-03
86580,NVDA,NVIDIA CORP,2021-04-30,0.124455,600.38,1675421.0,623000.0,40.0,Technology,374036.74,2021,4,2021-04
86580,NVDA,NVIDIA CORP,2021-05-28,0.082281,649.78003,1760518.0,623000.0,40.0,Technology,404812.95869,2021,5,2021-05
86580,NVDA,NVIDIA CORP,2021-06-30,0.231586,800.09998,2562882.0,623000.0,40.0,Technology,498462.28754,2021,6,2021-06
86580,NVDA,NVIDIA CORP,2021-07-30,-0.025172,194.99001,3711893.0,2500000.0,10.0,Technology,487475.0250000001,2021,7,2021-07
86580,NVDA,NVIDIA CORP,2021-08-31,0.148213,223.85001,6403341.0,2500000.0,10.0,Technology,559625.025,2021,8,2021-08
86580,NVDA,NVIDIA CORP,2021-09-30,-0.074559,207.16,4992551.0,2500000.0,10.0,Technology,517900.0,2021,9,2021-09
86580,NVDA,NVIDIA CORP,2021-10-29,0.234167,255.67,4963403.0,2502000.0,10.0,Technology,639686.34,2021,10,2021-10
86580,NVDA,NVIDIA CORP,2021-11-30,0.278054,326.76001,10785582.0,2500000.0,10.0,Technology,816900.025,2021,11,2021-11
86580,NVDA,NVIDIA CORP,2021-12-31,-0.099798,294.10999,11041329.0,2500000.0,10.0,Technology,735274.975,2021,12,2021-12
86580,NVDA,NVIDIA CORP,2022-01-31,-0.167454,244.86,10660409.0,2506000.0,10.0,Technology,613619.16,2022,1,2022-01
86580,NVDA,NVIDIA CORP,2022-02-28,-0.004125,243.85001,10588623.0,2506000.0,10.0,Technology,611088.12506,2022,2,2022-02
86580,NVDA,NVIDIA CORP,2022-03-31,0.119131,272.85999,11621613.0,2503959.0,10.0,Technology,683230.2277004101,2022,3,2022-03
86580,NVDA,NVIDIA CORP,2022-04-29,-0.320274,185.47,11093061.0,2500000.0,10.0,Technology,463675.0,2022,4,2022-04
